female,white,age,ideology,newsdays,bush,obama,mccain,clinton,limbaugh
0,1,25,2,1,0,85,0,70,30
1,0,54,4,3,50,70,30,70,70
1,1,81,6,7,60,50,60,40,50
1,1,43,4,7,15,85,40,85,50
1,1,40,4,0,30,40,40,70,15
1,0,27,4,4,40,60,85,70,50
1,0,38,4,5,50,100,50,85,50
0,1,90,6,0,0,70,60,100,60
0,1,37,5,4,0,70,15,60,30
0,1,35,4,4,30,30,70,100,50
1,1,33,3,2,30,50,60,85,50
1,1,47,4,0,15,100,60,100,50
0,0,35,4,1,30,60,70,85,0
1,1,68,6,1,50,0,50,70,0
1,1,79,6,5,50,0,100,50,50
0,1,57,4,0,0,30,50,60,30
0,0,31,4,1,30,60,50,30,40
1,0,51,4,0,60,85,40,70,50
1,0,60,4,3,30,85,60,85,0
0,0,33,6,3,50,85,70,85,30
1,1,33,4,7,40,50,30,85,50
0,1,29,5,0,70,85,50,50,50
1,0,33,2,5,30,85,50,100,50
0,1,47,6,7,60,50,85,30,60
0,0,57,1,2,30,70,50,70,50
1,1,36,4,4,60,70,60,70,15
1,1,58,4,2,40,60,40,40,50
0,1,52,4,2,60,70,40,60,60
0,1,27,4,2,50,60,40,60,30
1,1,51,4,5,0,70,30,100,0
0,1,62,4,0,35,55,45,100,0
0,1,72,7,7,30,50,100,100,50
1,1,36,6,0,70,85,70,85,70
1,1,42,4,0,50,85,70,100,50
1,1,22,5,7,50,50,85,60,30
0,1,66,2,7,15,50,50,70,0
0,1,26,3,0,0,85,15,60,40
1,1,45,1,3,0,85,30,100,0
0,1,37,6,5,85,30,60,0,85
0,1,70,6,5,60,50,60,50,100
1,0,35,6,3,50,70,70,70,60
0,0,46,4,3,40,85,60,100,0
1,1,77,5,3,70,50,60,0,60
1,1,46,2,0,15,100,30,85,0
0,1,27,1,0,0,70,15,100,0
1,1,55,5,7,70,60,85,60,50
1,1,28,3,7,60,70,60,40,50
0,1,47,1,7,0,70,15,100,0
0,1,52,6,7,30,0,85,85,0
0,1,27,3,2,0,70,40,15,0
0,1,26,6,5,60,50,80,70,75
1,1,30,4,0,60,15,85,0,0
1,0,63,4,7,0,50,50,85,30
0,1,75,6,7,60,30,60,30,50
1,1,40,4,2,70,70,60,0,30
0,1,64,5,7,0,85,30,50,60
1,1,50,4,3,50,0,60,85,60
1,1,77,6,7,60,0,70,30,100
1,1,73,5,0,15,30,30,15,60
0,1,54,4,0,0,50,25,40,0
1,1,48,4,0,60,50,60,50,50
0,1,37,2,3,50,50,50,0,60
1,1,72,4,2,50,70,0,50,0
1,0,44,1,7,0,100,0,100,15
1,1,69,4,7,60,30,85,70,60
1,1,51,4,5,50,60,60,70,50
0,1,61,3,7,85,0,85,50,30
1,1,42,6,3,0,30,70,70,30
0,0,41,4,7,30,70,40,60,40
0,0,39,4,0,0,70,0,60,100
0,1,39,7,0,85,60,85,40,70
0,0,25,2,7,0,100,60,70,15
0,0,36,5,7,50,85,30,85,50
0,1,59,1,0,0,70,15,60,0
0,1,27,6,7,85,60,70,0,50
0,1,44,4,7,15,50,15,50,50
0,0,30,3,7,0,85,15,70,0
1,0,54,3,7,0,100,0,60,15
1,1,52,2,0,15,85,30,70,30
0,1,23,5,7,40,55,85,40,15
0,1,49,3,7,30,70,60,60,30
0,1,30,5,0,0,70,60,85,50
1,0,37,3,0,15,85,85,70,60
1,1,23,4,1,15,85,15,60,50
1,1,49,1,5,0,100,0,50,0
0,1,66,5,5,100,50,85,50,0
