annualGrammy,category,awardType,awardFor,name
6,Best Album Notes,Individual,The Ellington Era,The Ellington Era
6,Best Recording For Children,Individual,Bernstein Conducts For Young People,Bernstein Conducts For Young People
6,Best Rock & Roll Recording,Individual,Deep Purple,Deep Purple
6,Best Country & Western Recording,Individual,Detroit City,Detroit City
6,Best Rhythm & Blues Recording,Individual,Busted,Busted
6,Best Folk Recording,Individual,Blowin' In The Wind,Blowin' In The Wind
6,Best Gospel Or Other Religious Recording (Musical),Individual,Dominique,Dominique
6,Best New Artist Of 1963,Individual,Ward Swingle (The Swingle Singers),Ward Swingle (The Swingle Singers)
7,Record Of The Year,Individual,The Girl From Ipanema,The Girl From Ipanema
7,Album Of The Year,Individual,Getz/Gilberto,Getz/Gilberto
7,Album Of The Year -- Classical,Individual,"Bernstein: Symphony No. 3 ""Kaddish""","Bernstein: Symphony No. 3 ""Kaddish"""
7,Song Of The Year,Individual,"Hello, Dolly!","Hello, Dolly!"
7,Best Instrumental Composition (Other Than Jazz),Work,The Pink Panther Theme,Henry Mancini
7,"Best Vocal Performance, Female",Work,People,Barbra Streisand
7,"Best Vocal Performance, Male",Individual,"Hello, Dolly!","Hello, Dolly!"
7,Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group,Individual,Getz/Gilberto,Getz/Gilberto
7,Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group,Individual,Guitar From Ipanema,Guitar From Ipanema
7,Best Original Jazz Composition,Individual,The Cat,The Cat
7,Best Instrumental Performance - Non-Jazz,Work,The Pink Panther,Henry Mancini
7,Best Instrumental Arrangement,Work,The Pink Panther,Henry Mancini
7,Best Accompaniment Arrangement For Vocalist(s) Or Instrumentalist(s),Individual,People,People
7,Best Performance By A Vocal Group,Work,A Hard Day's Night,The Beatles
7,Best Performance By A Chorus,Individual,The Swingle Singers Going Baroque,The Swingle Singers Going Baroque
7,Best Original Score Written For A Motion Picture Or Television Show,Individual,Mary Poppins,Mary Poppins
7,Best Score From An Original Cast Show Album,Individual,Funny Girl,Funny Girl
7,Best Comedy Performance,Individual,I Started Out As A Child,I Started Out As A Child
7,"Best Documentary, Spoken Word Or Drama Recording (Other Than Comedy)",Individual,BBC Tribute To John F. Kennedy,BBC Tribute To John F. Kennedy
7,Best Engineered Recording - Non-Classical,Individual,Getz/Gilberto,Getz/Gilberto
7,Best Engineered Recording - Special Or Novel Effects,Individual,The Chipmunks Sing The Beatles,The Chipmunks Sing The Beatles
7,Best Album Cover- Other Than Classical,Individual,People,People
7,Best Album Cover - Classical,Individual,Saint-Saens: Carnival Of The Animals/Britten: Young Persons Guide To The Orchestra,Saint-Saens: Carnival Of The Animals/Britten: Young Persons Guide To The Orchestra
7,Best Recording For Children,Individual,Mary Poppins,Mary Poppins
7,Best Rock & Roll Recording,Individual,Downtown,Downtown
7,Best Rhythm & Blues Recording,Individual,How Glad I Am,How Glad I Am
7,Best Folk Recording,Individual,We'll Sing In The Sunshine,We'll Sing In The Sunshine
7,Best Gospel Or Other Religious Recording (Musical),Individual,Great Gospel Songs,Great Gospel Songs
7,Best New Artist Of 1964,Work,The Beatles,The Beatles
7,Best Country & Western Single,Individual,Dang Me,Dang Me
7,Best Country & Western Album,Work,Dang Me/Chug-A-Lug,Roger Miller
7,Best Country & Western Vocal Performance - Female,Individual,Here Comes My Baby,Here Comes My Baby
7,Best Country & Western Vocal Performance - Male,Work,Dang Me,Roger Miller
7,Best Country & Western Song,Work,Dang Me,Roger Miller
7,Best New Country & Western Artist Of 1964,Work,,Roger Miller
7,Best Album Notes,Individual,Mexico (Legacy Collection),Mexico (Legacy Collection)
7,Best Performance - Orchestra,Individual,Mahler: Symphony No. 5/Berg: Wozzeck Excerpts,Mahler: Symphony No. 5/Berg: Wozzeck Excerpts
7,Best Chamber Performance - Instrumental,Individual,"Beethoven: Trio No. 1 In E Flat, Op. 1 #1","Beethoven: Trio No. 1 In E Flat, Op. 1 #1"
7,Best Chamber Music Performance - Vocal,Individual,It Was A Lover And His Lass,It Was A Lover And His Lass
7,Best Performance - Instrumental Soloist Or Soloists (With Orchestra),Individual,Prokofiev: Violin Concerto No. 1 In D,Prokofiev: Violin Concerto No. 1 In D
7,Best Performance - Instrumental Soloist Or Soloists (Without Orchestra),Work,"Vladimir Horowitz Plays Beethoven, Debussy, Chopin",Vladimir Horowitz
7,Best Opera Recording,Individual,Bizet: Carmen,Bizet: Carmen
7,Best Choral Performance (Other Than Opera),Individual,Britten: A Ceremony Of Carols,Britten: A Ceremony Of Carols
7,Best Vocal Soloist Performance (With Or Without Orchestra),Individual,Berlioz: Nuits D'Ete (Song Cycle)/Falla: El Amor Brujo,Berlioz: Nuits D'Ete (Song Cycle)/Falla: El Amor Brujo
7,Best Composition By A Contemporary Composer,Individual,Barber: Piano Concerto,Barber: Piano Concerto
7,Best Engineered Recording,Individual,Britten: Young Person's Guide To The Orchestra,Britten: Young Person's Guide To The Orchestra
7,Most Promising New Classical Recording Artist,Individual,"The Age Of Bel Canto: Operatic Scenes (Boyngne, cond.)","The Age Of Bel Canto: Operatic Scenes (Boyngne, cond.)"
8,Record Of The Year,Individual,A Taste Of Honey,A Taste Of Honey
8,Album Of The Year,Work,September Of My Years,Frank Sinatra
8,Album Of The Year -- Classical,Work,Horowitz At Carnegie Hall - An Historic Return,Vladimir Horowitz
8,Song Of The Year,Individual,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")","The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"
8,"Best Vocal Performance, Female",Work,My Name Is Barbra,Barbra Streisand
8,"Best Vocal Performance, Male",Work,It Was A Very Good Year,Frank Sinatra
8,"Best Instrumental Performance, Non-Jazz",Individual,A Taste Of Honey,A Taste Of Honey
8,Best Performance By A Vocal Group,Individual,We Dig Mancini,We Dig Mancini
8,Best Performance By A Chorus,Individual,Anyone For Mozart?,Anyone For Mozart?
8,Best Original Score Written For A Motion Picture Or Television Show,Individual,The Sandpiper,The Sandpiper
8,Best Score From An Original Cast Show Album,Individual,On A Clear Day,On A Clear Day
8,Best Comedy Performance,Individual,Why Is There Air?,Why Is There Air?
8,Best Spoken Word Or Drama Recording,Individual,John F. Kennedy - As We Remember Him,John F. Kennedy - As We Remember Him
8,Best New Artist,Individual,Tom Jones,Tom Jones
8,Best Recording For Children,Individual,"Dr. Seuss Presents ""Fox In Sox"" And ""Green Eggs And Ham""","Dr. Seuss Presents ""Fox In Sox"" And ""Green Eggs And Ham"""
8,Best Album Notes,Individual,September Of My Years,September Of My Years
8,Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group,Individual,"The ""In"" Crowd","The ""In"" Crowd"
8,Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group,Work,Ellington '66,Duke Ellington
